Nome,Cozinha1,Cozinha2,Bairro,Almoco,Jantar,Menu
James Steakhouse,Steakhouse,,Patamares,"R$ 73,90","R$ 94,90",+Plus
RED,Comfort Food,,Pituba,"R$ 73,90",,+Plus
Martim Pescador - Shopping Paralela,Frutos do mar,,,"R$ 73,90",,+Plus
Cantina Volpi - Pituba,,,Pituba,"R$ 73,90",,+Plus
Casa Iryna,Contemporânea, Italiana,Pituba,"R$ 95,00","R$ 115,00",Premium
JP Steakhouse,Churrascaria,,Pituaçu,,"R$ 115,00",Premium
Casa Di Vina,Mediterrânea,,Itapuã,"R$ 95,00",,Premium
Mistura - Itapuã,Mediterrânea,,Itapuã,"R$ 95,00","R$ 115,00",Premium
Pereira Café - Shopping Paralela,Contemporânea,,Paralela,"R$ 59,90",,RW
La Pulperia - Paseo,Argentina, Parrilla,Itaigara,,"R$ 115,00",Premium
Santiago Culinária Ibérica,Espanhola, Ibérica,Dentro do Clube Espanhol Ondina,"R$ 73,90","R$ 94,90",+Plus
Di Liana,Italiana,,Ondina,"R$ 95,00","R$ 115,00",Premium
Cave Queijos,Internacional,,Loja 10 Ondina,"R$ 73,90",,+Plus
Cantina Volpi - Ondina,Italiana,,Ondina,"R$ 73,90",,+Plus
Restaurante Cascais,,,Jardim Apipema,"R$ 73,90","R$ 94,90",+Plus
Soho - Shopping Paseo Itaigara,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Restaurante Orí,Contemporânea, Regional,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Almacen Pepe,Contemporânea, Oriental,Horto Florestal,"R$ 95,00",,Premium
Casa Nero Pizzahouse,,,Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Racletto,Internacional,,Loja 9 Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Cantina Volpi - Paseo Itaigara,Italiana,,Itaigara,"R$ 73,90",,+Plus
Bóia Restaurante,,,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Megiro Boteco,Brasileira,,Horto Florestal,"R$ 95,00",,Premium
Mõrea,Asiática,,Horto Florestal,,"R$ 115,00",Premium
Casa Di Vina,Mediterrânea,,Itapuã,"R$ 95,00",,Premium
Mistura - Itapuã,Mediterrânea,,Itapuã,"R$ 95,00","R$ 115,00",Premium
Pereira Café - Shopping Paralela,Contemporânea,,Paralela,"R$ 59,90",,RW
La Pulperia - Paseo,Argentina, Parrilla,Itaigara,,"R$ 115,00",Premium
Santiago Culinária Ibérica,Espanhola, Ibérica,Dentro do Clube Espanol Ondina,"R$ 73,90","R$ 94,90",+Plus
Di Liana,Italiana,,Ondina,"R$ 95,00","R$ 115,00",Premium
Cave Queijos,Internacional,,Loja 10 Ondina,"R$ 73,90",,+Plus
Cantina Volpi - Ondina,Italiana,,Ondina,"R$ 73,90",,+Plus
Restaurante Cascais,,,Jardim Apipema,"R$ 73,90","R$ 94,90",+Plus
Casa Di Vina,Mediterrânea,,Itapuã,"R$ 95,00",,Premium
Mistura - Itapuã,Mediterrânea,,Itapuã,"R$ 95,00","R$ 115,00",Premium
Pereira Café - Shopping Paralela,Contemporânea,,Paralela,"R$ 59,90",,RW
La Pulperia - Paseo,Argentina, Parrilla,Itaigara,,"R$ 115,00",Premium
Santiago Culinária Ibérica,Espanhola, Ibérica,Dentro do Clube Espanol Ondina,"R$ 73,90","R$ 94,90",+Plus
Di Liana,Italiana,,Ondina,"R$ 95,00","R$ 115,00",Premium
Cave Queijos,Internacional,,Loja 10 Ondina,"R$ 73,90",,+Plus
Cantina Volpi - Ondina,Italiana,,Ondina,"R$ 73,90",,+Plus
Restaurante Cascais,,,Jardim Apipema,"R$ 73,90","R$ 94,90",+Plus
Soho - Shopping Paseo Itaigara,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Restaurante Orí,Contemporânea, Regional,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Almacen Pepe,Contemporânea, Oriental,Horto Florestal,"R$ 95,00",,Premium
Casa Nero Pizzahouse,,,Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Racletto,Internacional,,Loja 9 Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Cantina Volpi - Paseo Itaigara,Italiana,,Itaigara,"R$ 73,90",,+Plus
Bóia Restaurante,,,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Megiro Boteco,Brasileira,,Horto Florestal,"R$ 95,00",,Premium
Mõrea,Asiática,,Horto Florestal,,"R$ 115,00",Premium
Casa Di Vina,Mediterrânea,,Itapuã,"R$ 95,00",,Premium
Mistura - Itapuã,Mediterrânea,,Itapuã,"R$ 95,00","R$ 115,00",Premium
Pereira Café - Shopping Paralela,Contemporânea,,Paralela,"R$ 59,90",,RW
La Pulperia - Paseo,Argentina, Parrilla,Itaigara,,"R$ 115,00",Premium
Santiago Culinária Ibérica,Espanhola, Ibérica,Dentro do Clube Espanol Ondina,"R$ 73,90","R$ 94,90",+Plus
Di Liana,Italiana,,Ondina,"R$ 95,00","R$ 115,00",Premium
Cave Queijos,Internacional,,Loja 10 Ondina,"R$ 73,90",,+Plus
Cantina Volpi - Ondina,Italiana,,Ondina,"R$ 73,90",,+Plus
Restaurante Cascais,,,Jardim Apipema,"R$ 73,90","R$ 94,90",+Plus
Soho - Shopping Paseo Itaigara,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Restaurante Orí,Contemporânea, Regional,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Almacen Pepe,Contemporânea, Oriental,Horto Florestal,"R$ 95,00",,Premium
Casa Nero Pizzahouse,,,Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Racletto,Internacional,,Loja 9 Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Cantina Volpi - Paseo Itaigara,Italiana,,Itaigara,"R$ 73,90",,+Plus
Bóia Restaurante,,,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Megiro Boteco,Brasileira,,Horto Florestal,"R$ 95,00",,Premium
Mõrea,Asiática,,Horto Florestal,,"R$ 115,00",Premium
Soho - Shopping Paseo Itaigara,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Restaurante Orí,Contemporânea, Regional,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Almacen Pepe,Contemporânea, Oriental,Horto Florestal,"R$ 95,00",,Premium
Casa Nero Pizzahouse,,,Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Racletto,Internacional,,Loja 9 Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Cantina Volpi - Paseo Itaigara,Italiana,,Itaigara,"R$ 73,90",,+Plus
Bóia Restaurante,,,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Megiro Boteco,Brasileira,,Horto Florestal,"R$ 95,00",,Premium
Mõrea,Asiática,,Horto Florestal,,"R$ 115,00",Premium
Soho - Shopping Paseo Itaigara,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Restaurante Orí,Contemporânea, Regional,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Almacen Pepe,Contemporânea, Oriental,Horto Florestal,"R$ 95,00",,Premium
Casa Nero Pizzahouse,,,Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Racletto,Internacional,,Loja 9 Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Cantina Volpi - Paseo Itaigara,Italiana,,Itaigara,"R$ 73,90",,+Plus
Bóia Restaurante,,,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Megiro Boteco,Brasileira,,Horto Florestal,"R$ 95,00",,Premium
Mõrea,Asiática,,Horto Florestal,,"R$ 115,00",Premium
Lôro - Bahia Marina,Frutos do mar, Baiana,,"R$ 95,00","R$ 115,00",Premium
Lafayette - Bahia Marina,Mediterrânea,,Comércio,"R$ 95,00","R$ 115,00",Premium
Soho - Bahia Marina,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Lotti Cucina,Italiana,,Comércio,"R$ 95,00","R$ 115,00",Premium
Chez Bernard Restaurant,,,Dois de Julho,"R$ 95,00","R$ 115,00",Premium
Cazinha Bistrô,,,Dois de Julho,"R$ 95,00",,Premium
Preta Bistrô,,,Graça,"R$ 95,00","R$ 115,00",Premium
Leto Gastronomia,,,Comércio,"R$ 95,00","R$ 115,00",Premium
Vona,,,Graça,"R$ 95,00","R$ 115,00",Premium
Lôro - Bahia Marina,Frutos do mar, Baiana,,"R$ 95,00","R$ 115,00",Premium
Lafayette - Bahia Marina,Mediterrânea,,Comércio,"R$ 95,00","R$ 115,00",Premium
Soho - Bahia Marina,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Lotti Cucina,Italiana,,Comércio,"R$ 95,00","R$ 115,00",Premium
Chez Bernard Restaurant,,,Dois de Julho,"R$ 95,00","R$ 115,00",Premium
Cazinha Bistrô,,,Dois de Julho,"R$ 95,00",,Premium
Preta Bistrô,,,Graça,"R$ 95,00","R$ 115,00",Premium
Leto Gastronomia,,,Comércio,"R$ 95,00","R$ 115,00",Premium
Vona,,,Graça,"R$ 95,00","R$ 115,00",Premium
Torre de Pizza,Pizzaria,,,"R$ 73,90","R$ 94,90",+Plus
Restaurante OMI,Contemporânea,,Centro,"R$ 95,00","R$ 115,00",Premium
Carvão,Churrascaria,,Chame-Chame,"R$ 95,00","R$ 115,00",Premium
Genaro por Vini Figueira,Ibérica, Regional,Centro,"R$ 95,00","R$ 115,00",Premium
Gero,,,,"R$ 95,00",,Premium
Preta Tira-Chapéu,,,Centro Histórico,"R$ 95,00","R$ 115,00",Premium
Pala 7 Rooftop,,,Centro Histórico,"R$ 95,00",,Premium
Amado,Internacional,,Comércio,"R$ 95,00","R$ 115,00",Premium
Casaria Salvador,,,Centro Histórico,"R$ 95,00","R$ 115,00",Premium
Lôro - Bahia Marina,Frutos do mar, Baiana,,"R$ 95,00","R$ 115,00",Premium
Lafayette - Bahia Marina,Mediterrânea,,Comércio,"R$ 95,00","R$ 115,00",Premium
Soho - Bahia Marina,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Lotti Cucina,Italiana,,Comércio,"R$ 95,00","R$ 115,00",Premium
Chez Bernard Restaurant,,,Dois de Julho,"R$ 95,00","R$ 115,00",Premium
Cazinha Bistrô,,,Dois de Julho,"R$ 95,00",,Premium
Preta Bistrô,,,Graça,"R$ 95,00","R$ 115,00",Premium
Leto Gastronomia,,,Comércio,"R$ 95,00","R$ 115,00",Premium
Vona,,,Graça,"R$ 95,00","R$ 115,00",Premium
Torre de Pizza,Pizzaria,,,"R$ 73,90","R$ 94,90",+Plus
Restaurante OMI,Contemporânea,,Centro,"R$ 95,00","R$ 115,00",Premium
Carvão,Churrascaria,,Chame-Chame,"R$ 95,00","R$ 115,00",Premium
Genaro por Vini Figueira,Ibérica, Regional,Centro,"R$ 95,00","R$ 115,00",Premium
Gero,,,,"R$ 95,00",,Premium
Preta Tira-Chapéu,,,Centro Histórico,"R$ 95,00","R$ 115,00",Premium
Pala 7 Rooftop,,,Centro Histórico,"R$ 95,00",,Premium
Amado,Internacional,,Comércio,"R$ 95,00","R$ 115,00",Premium
Casaria Salvador,,,Centro Histórico,"R$ 95,00","R$ 115,00",Premium
Torre de Pizza,Pizzaria,,,"R$ 73,90","R$ 94,90",+Plus
Restaurante OMI,Contemporânea,,Centro,"R$ 95,00","R$ 115,00",Premium
Carvão,Churrascaria,,Chame-Chame,"R$ 95,00","R$ 115,00",Premium
Genaro por Vini Figueira,Ibérica, Regional,Centro,"R$ 95,00","R$ 115,00",Premium
Gero,,,,"R$ 95,00",,Premium
Preta Tira-Chapéu,,,Centro Histórico,"R$ 95,00","R$ 115,00",Premium
Pala 7 Rooftop,,,Centro Histórico,"R$ 95,00",,Premium
Amado,Internacional,,Comércio,"R$ 95,00","R$ 115,00",Premium
Casaria Salvador,,,Centro Histórico,"R$ 95,00","R$ 115,00",Premium
Al Mare - Salvador Shopping,Frutos do mar,,,"R$ 73,90","R$ 94,90",+Plus
Bella Napoli,Italiana,,Caminho das Árvores,,"R$ 115,00",Premium
Mariposa,Comfort Food,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Pecorino Bar & Trattoria - Salvador shopping,Italiana,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Ki-Mukeka - Salvador Shopping,Regional,,Caminho das Árvores,"R$ 95,00","R$ 115,00",Premium
A Taberna,,,Candeal,"R$ 95,00","R$ 115,00",Premium
Casa Chálabi,,,Rio vermelho,"R$ 73,90","R$ 94,90",+Plus
Zaffe,Contemporânea,,Candeal,"R$ 73,90","R$ 94,90",+Plus
Casa de Moá,,,Capuchinhos,"R$ 73,90","R$ 94,90",+Plus
Al Mare - Salvador Shopping,Frutos do mar,,,"R$ 73,90","R$ 94,90",+Plus
Bella Napoli,Italiana,,Caminho das Árvores,,"R$ 115,00",Premium
Mariposa,Comfort Food,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Pecorino Bar & Trattoria - Salvador shopping,Italiana,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Ki-Mukeka - Salvador Shopping,Regional,,Caminho das Árvores,"R$ 95,00","R$ 115,00",Premium
A Taberna,,,Candeal,"R$ 95,00","R$ 115,00",Premium
Casa Chálabi,,,Rio vermelho,"R$ 73,90","R$ 94,90",+Plus
Casa Di Vina,Mediterrânea,,Itapuã,"R$ 95,00",,Premium
Mistura - Itapuã,Mediterrânea,,Itapuã,"R$ 95,00","R$ 115,00",Premium
Pereira Café - Shopping Paralela,Contemporânea,,Paralela,"R$ 59,90",,RW
La Pulperia - Paseo,Argentina, Parrilla,Itaigara,,"R$ 115,00",Premium
Santiago Culinária Ibérica,Espanhola, Ibérica,Dentro do Clube Espanol Ondina,"R$ 73,90","R$ 94,90",+Plus
Di Liana,Italiana,,Ondina,"R$ 95,00","R$ 115,00",Premium
Cave Queijos,Internacional,,Loja 10 Ondina,"R$ 73,90",,+Plus
Cantina Volpi - Ondina,Italiana,,Ondina,"R$ 73,90",,+Plus
Restaurante Cascais,,,Jardim Apipema,"R$ 73,90","R$ 94,90",+Plus
Casa Di Vina,Mediterrânea,,Itapuã,"R$ 95,00",,Premium
Mistura - Itapuã,Mediterrânea,,Itapuã,"R$ 95,00","R$ 115,00",Premium
Pereira Café - Shopping Paralela,Contemporânea,,Paralela,"R$ 59,90",,RW
La Pulperia - Paseo,Argentina, Parrilla,Itaigara,,"R$ 115,00",Premium
Santiago Culinária Ibérica,Espanhola, Ibérica,Dentro do Clube Espanol Ondina,"R$ 73,90","R$ 94,90",+Plus
Di Liana,Italiana,,Ondina,"R$ 95,00","R$ 115,00",Premium
Cave Queijos,Internacional,,Loja 10 Ondina,"R$ 73,90",,+Plus
Cantina Volpi - Ondina,Italiana,,Ondina,"R$ 73,90",,+Plus
Restaurante Cascais,,,Jardim Apipema,"R$ 73,90","R$ 94,90",+Plus
Soho - Shopping Paseo Itaigara,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Restaurante Orí,Contemporânea, Regional,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Almacen Pepe,Contemporânea, Oriental,Horto Florestal,"R$ 95,00",,Premium
Casa Nero Pizzahouse,,,Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Racletto,Internacional,,Loja 9 Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Cantina Volpi - Paseo Itaigara,Italiana,,Itaigara,"R$ 73,90",,+Plus
Bóia Restaurante,,,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Megiro Boteco,Brasileira,,Horto Florestal,"R$ 95,00",,Premium
Mõrea,Asiática,,Horto Florestal,,"R$ 115,00",Premium
Casa Di Vina,Mediterrânea,,Itapuã,"R$ 95,00",,Premium
Mistura - Itapuã,Mediterrânea,,Itapuã,"R$ 95,00","R$ 115,00",Premium
Pereira Café - Shopping Paralela,Contemporânea,,Paralela,"R$ 59,90",,RW
La Pulperia - Paseo,Argentina, Parrilla,Itaigara,,"R$ 115,00",Premium
Santiago Culinária Ibérica,Espanhola, Ibérica,Dentro do Clube Espanol Ondina,"R$ 73,90","R$ 94,90",+Plus
Di Liana,Italiana,,Ondina,"R$ 95,00","R$ 115,00",Premium
Cave Queijos,Internacional,,Loja 10 Ondina,"R$ 73,90",,+Plus
Cantina Volpi - Ondina,Italiana,,Ondina,"R$ 73,90",,+Plus
Restaurante Cascais,,,Jardim Apipema,"R$ 73,90","R$ 94,90",+Plus
Soho - Shopping Paseo Itaigara,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Restaurante Orí,Contemporânea, Regional,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Almacen Pepe,Contemporânea, Oriental,Horto Florestal,"R$ 95,00",,Premium
Casa Nero Pizzahouse,,,Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Racletto,Internacional,,Loja 9 Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Cantina Volpi - Paseo Itaigara,Italiana,,Itaigara,"R$ 73,90",,+Plus
Bóia Restaurante,,,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Megiro Boteco,Brasileira,,Horto Florestal,"R$ 95,00",,Premium
Mõrea,Asiática,,Horto Florestal,,"R$ 115,00",Premium
Soho - Shopping Paseo Itaigara,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Restaurante Orí,Contemporânea, Regional,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Almacen Pepe,Contemporânea, Oriental,Horto Florestal,"R$ 95,00",,Premium
Casa Nero Pizzahouse,,,Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Racletto,Internacional,,Loja 9 Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Cantina Volpi - Paseo Itaigara,Italiana,,Itaigara,"R$ 73,90",,+Plus
Bóia Restaurante,,,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Megiro Boteco,Brasileira,,Horto Florestal,"R$ 95,00",,Premium
Mõrea,Asiática,,Horto Florestal,,"R$ 115,00",Premium
Soho - Shopping Paseo Itaigara,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Restaurante Orí,Contemporânea, Regional,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Almacen Pepe,Contemporânea, Oriental,Horto Florestal,"R$ 95,00",,Premium
Casa Nero Pizzahouse,,,Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Racletto,Internacional,,Loja 9 Horto Florestal,"R$ 73,90","R$ 94,90",+Plus
Cantina Volpi - Paseo Itaigara,Italiana,,Itaigara,"R$ 73,90",,+Plus
Bóia Restaurante,,,Horto Florestal,"R$ 95,00","R$ 115,00",Premium
Megiro Boteco,Brasileira,,Horto Florestal,"R$ 95,00",,Premium
Mõrea,Asiática,,Horto Florestal,,"R$ 115,00",Premium
Lôro - Bahia Marina,Frutos do mar, Baiana,,"R$ 95,00","R$ 115,00",Premium
Lafayette - Bahia Marina,Mediterrânea,,Comércio,"R$ 95,00","R$ 115,00",Premium
Soho - Bahia Marina,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Lotti Cucina,Italiana,,Comércio,"R$ 95,00","R$ 115,00",Premium
Chez Bernard Restaurant,,,Dois de Julho,"R$ 95,00","R$ 115,00",Premium
Cazinha Bistrô,,,Dois de Julho,"R$ 95,00",,Premium
Preta Bistrô,,,Graça,"R$ 95,00","R$ 115,00",Premium
Leto Gastronomia,,,Comércio,"R$ 95,00","R$ 115,00",Premium
Vona,,,Graça,"R$ 95,00","R$ 115,00",Premium
Lôro - Bahia Marina,Frutos do mar, Baiana,,"R$ 95,00","R$ 115,00",Premium
Lafayette - Bahia Marina,Mediterrânea,,Comércio,"R$ 95,00","R$ 115,00",Premium
Soho - Bahia Marina,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Lotti Cucina,Italiana,,Comércio,"R$ 95,00","R$ 115,00",Premium
Chez Bernard Restaurant,,,Dois de Julho,"R$ 95,00","R$ 115,00",Premium
Cazinha Bistrô,,,Dois de Julho,"R$ 95,00",,Premium
Preta Bistrô,,,Graça,"R$ 95,00","R$ 115,00",Premium
Leto Gastronomia,,,Comércio,"R$ 95,00","R$ 115,00",Premium
Vona,,,Graça,"R$ 95,00","R$ 115,00",Premium
Torre de Pizza,Pizzaria,,,"R$ 73,90","R$ 94,90",+Plus
Restaurante OMI,Contemporânea,,Centro,"R$ 95,00","R$ 115,00",Premium
Carvão,Churrascaria,,Chame-Chame,"R$ 95,00","R$ 115,00",Premium
Genaro por Vini Figueira,Ibérica, Regional,Centro,"R$ 95,00","R$ 115,00",Premium
Gero,,,,"R$ 95,00",,Premium
Preta Tira-Chapéu,,,Centro Histórico,"R$ 95,00","R$ 115,00",Premium
Pala 7 Rooftop,,,Centro Histórico,"R$ 95,00",,Premium
Amado,Internacional,,Comércio,"R$ 95,00","R$ 115,00",Premium
Casaria Salvador,,,Centro Histórico,"R$ 95,00","R$ 115,00",Premium
Lôro - Bahia Marina,Frutos do mar, Baiana,,"R$ 95,00","R$ 115,00",Premium
Lafayette - Bahia Marina,Mediterrânea,,Comércio,"R$ 95,00","R$ 115,00",Premium
Soho - Bahia Marina,Japonesa,,,"R$ 95,00","R$ 115,00",Premium
Lotti Cucina,Italiana,,Comércio,"R$ 95,00","R$ 115,00",Premium
Chez Bernard Restaurant,,,Dois de Julho,"R$ 95,00","R$ 115,00",Premium
Cazinha Bistrô,,,Dois de Julho,"R$ 95,00",,Premium
Preta Bistrô,,,Graça,"R$ 95,00","R$ 115,00",Premium
Leto Gastronomia,,,Comércio,"R$ 95,00","R$ 115,00",Premium
Vona,,,Graça,"R$ 95,00","R$ 115,00",Premium
Torre de Pizza,Pizzaria,,,"R$ 73,90","R$ 94,90",+Plus
Restaurante OMI,Contemporânea,,Centro,"R$ 95,00","R$ 115,00",Premium
Carvão,Churrascaria,,Chame-Chame,"R$ 95,00","R$ 115,00",Premium
Genaro por Vini Figueira,Ibérica, Regional,Centro,"R$ 95,00","R$ 115,00",Premium
Gero,,,,"R$ 95,00",,Premium
Preta Tira-Chapéu,,,Centro Histórico,"R$ 95,00","R$ 115,00",Premium
Pala 7 Rooftop,,,Centro Histórico,"R$ 95,00",,Premium
Amado,Internacional,,Comércio,"R$ 95,00","R$ 115,00",Premium
Casaria Salvador,,,Centro Histórico,"R$ 95,00","R$ 115,00",Premium
Torre de Pizza,Pizzaria,,,"R$ 73,90","R$ 94,90",+Plus
Restaurante OMI,Contemporânea,,Centro,"R$ 95,00","R$ 115,00",Premium
Carvão,Churrascaria,,Chame-Chame,"R$ 95,00","R$ 115,00",Premium
Genaro por Vini Figueira,Ibérica, Regional,Centro,"R$ 95,00","R$ 115,00",Premium
Gero,,,,"R$ 95,00",,Premium
Preta Tira-Chapéu,,,Centro Histórico,"R$ 95,00","R$ 115,00",Premium
Pala 7 Rooftop,,,Centro Histórico,"R$ 95,00",,Premium
Amado,Internacional,,Comércio,"R$ 95,00","R$ 115,00",Premium
Casaria Salvador,,,Centro Histórico,"R$ 95,00","R$ 115,00",Premium
Al Mare - Salvador Shopping,Frutos do mar,,,"R$ 73,90","R$ 94,90",+Plus
Bella Napoli,Italiana,,Caminho das Árvores,,"R$ 115,00",Premium
Mariposa,Comfort Food,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Pecorino Bar & Trattoria - Salvador shopping,Italiana,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Ki-Mukeka - Salvador Shopping,Regional,,Caminho das Árvores,"R$ 95,00","R$ 115,00",Premium
